Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2
eel.wav,eel.mpg,eel,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
buff.wav,buff.mpg,buff,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
dine.wav,dine.mpg,dine,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
beach.wav,beach.mpg,beach,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
beard.wav,beard.mpg,beard,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
gate.wav,gate.mpg,gate,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
druid.wav,druid.mpg,druid,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
chill.wav,chill.mpg,chill,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
grain.wav,grain.mpg,grain,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
stain.wav,stain.mpg,stain,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
tool.wav,tool.mpg,tool,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
bribe.wav,bribe.mpg,bribe,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
bun.wav,bun.mpg,bun,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
dust.wav,dust.mpg,dust,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
crew.wav,crew.mpg,crew,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
fail.wav,fail.mpg,fail,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
chest.wav,chest.mpg,chest,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
dish.wav,dish.mpg,dish,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
blast.wav,blast.mpg,blast,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
clutch.wav,clutch.mpg,clutch,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
flood.wav,flood.mpg,flood,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
hike.wav,hike.mpg,hike,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
